-1: Invalid_Code
0: Null_Code
1: Add_Code
2: AddInt_Code
3: CatStr_Code
4: Sub_Code
5: SubInt_Code
6: Neg_Code
7: NegInt_Code
8: Mul_Code
9: MulInt_Code
10: Div_Code
11: DivInt_Code
12: IntDiv_Code
13: Mod_Code
14: ModInt_Code
15: Power_Code
16: PowerMul_Code
17: PowerInt_Code
18: Eq_Code
19: EqInt_Code
20: EqStr_Code
21: Gt_Code
22: GtInt_Code
23: GtStr_Code
24: GtEq_Code
25: GtEqInt_Code
26: GtEqStr_Code
27: Lt_Code
28: LtInt_Code
29: LtStr_Code
30: LtEq_Code
31: LtEqInt_Code
32: LtEqStr_Code
33: NotEq_Code
34: NotEqInt_Code
35: NotEqStr_Code
36: And_Code
37: Or_Code
38: Not_Code
39: Eqv_Code
40: Imp_Code
41: Xor_Code
42: Assign_Code
43: AssignInt_Code
44: AssignStr_Code
45: AssignSubStr_Code
46: AssignList_Code
47: AssignListInt_Code
48: AssignListStr_Code
49: AssignListMixStr_Code
50: Abs_Code
51: AbsInt_Code
52: Fix_Code
53: Frac_Code
54: Int_Code
55: Rnd_Code
56: RndArg_Code
57: RndArgInt_Code
58: Sgn_Code
59: SgnInt_Code
60: Cint_Code
61: Cdbl_Code
62: CvtInt_Code
63: CvtDbl_Code
64: Sqr_Code
65: Atn_Code
66: Cos_Code
67: Sin_Code
68: Tan_Code
69: Exp_Code
70: Log_Code
71: Asc_Code
72: Asc2_Code
73: Chr_Code
74: Instr2_Code
75: Instr3_Code
76: Left_Code
77: Len_Code
78: Mid2_Code
79: Mid3_Code
80: Repeat_Code
81: Right_Code
82: Space_Code
83: Str_Code
84: StrInt_Code
85: Val_Code
86: OpenParen_Code
87: CloseParen_Code
88: Comma_Code
89: SemiColon_Code
90: Colon_Code
91: RemOp_Code
92: Tab_Code
93: Spc_Code
94: Let_Code
95: Print_Code
96: Input_Code
97: Dim_Code
98: Def_Code
99: Rem_Code
100: If_Code
101: Then_Code
102: Else_Code
103: EndIf_Code
104: For_Code
105: To_Code
106: Step_Code
107: Next_Code
108: Do_Code
109: DoWhile_Code
110: DoUntil_Code
111: While_Code
112: Until_Code
113: Loop_Code
114: LoopWhile_Code
115: LoopUntil_Code
116: End_Code
117: EOL_Code
118: List_Code
119: Edit_Code
120: Delete_Code
121: Run_Code
122: Renum_Code
123: Save_Code
124: Load_Code
125: New_Code
126: Auto_Code
127: Cont_Code
128: Quit_Code
129: BegPlainWord_Code
130: EndPlainWord_Code
131: BegParenWord_Code
132: EndParenWord_Code
133: BegDataTypeWord_Code
134: EndDataTypeWord_Code
135: BegSymbol_Code
136: EndSymbol_Code
137: sizeof_Code

Abs_Code = 50
AbsInt_Code = 51
Add_Code = 1
AddInt_Code = 2
And_Code = 36
Asc2_Code = 72
Asc_Code = 71
Assign_Code = 42
AssignInt_Code = 43
AssignList_Code = 46
AssignListInt_Code = 47
AssignListMixStr_Code = 49
AssignListStr_Code = 48
AssignStr_Code = 44
AssignSubStr_Code = 45
Atn_Code = 65
Auto_Code = 126
BegDataTypeWord_Code = 133
BegParenWord_Code = 131
BegPlainWord_Code = 129
BegSymbol_Code = 135
CatStr_Code = 3
Cdbl_Code = 61
Chr_Code = 73
Cint_Code = 60
CloseParen_Code = 87
Colon_Code = 90
Comma_Code = 88
Cont_Code = 127
Cos_Code = 66
CvtDbl_Code = 63
CvtInt_Code = 62
Def_Code = 98
Delete_Code = 120
Dim_Code = 97
Div_Code = 10
DivInt_Code = 11
Do_Code = 108
DoUntil_Code = 110
DoWhile_Code = 109
EOL_Code = 117
Edit_Code = 119
Else_Code = 102
End_Code = 116
EndDataTypeWord_Code = 134
EndIf_Code = 103
EndParenWord_Code = 132
EndPlainWord_Code = 130
EndSymbol_Code = 136
Eq_Code = 18
EqInt_Code = 19
EqStr_Code = 20
Eqv_Code = 39
Exp_Code = 69
Fix_Code = 52
For_Code = 104
Frac_Code = 53
Gt_Code = 21
GtEq_Code = 24
GtEqInt_Code = 25
GtEqStr_Code = 26
GtInt_Code = 22
GtStr_Code = 23
If_Code = 100
Imp_Code = 40
Input_Code = 96
Instr2_Code = 74
Instr3_Code = 75
Int_Code = 54
IntDiv_Code = 12
Left_Code = 76
Len_Code = 77
Let_Code = 94
List_Code = 118
Load_Code = 124
Log_Code = 70
Loop_Code = 113
LoopUntil_Code = 115
LoopWhile_Code = 114
Lt_Code = 27
LtEq_Code = 30
LtEqInt_Code = 31
LtEqStr_Code = 32
LtInt_Code = 28
LtStr_Code = 29
Mid2_Code = 78
Mid3_Code = 79
Mod_Code = 13
ModInt_Code = 14
Mul_Code = 8
MulInt_Code = 9
Neg_Code = 6
NegInt_Code = 7
New_Code = 125
Next_Code = 107
Not_Code = 38
NotEq_Code = 33
NotEqInt_Code = 34
NotEqStr_Code = 35
Null_Code = 0
OpenParen_Code = 86
Or_Code = 37
Power_Code = 15
PowerInt_Code = 17
PowerMul_Code = 16
Print_Code = 95
Quit_Code = 128
Rem_Code = 99
RemOp_Code = 91
Renum_Code = 122
Repeat_Code = 80
Right_Code = 81
RndArg_Code = 56
RndArgInt_Code = 57
Rnd_Code = 55
Run_Code = 121
Save_Code = 123
SemiColon_Code = 89
Sgn_Code = 58
SgnInt_Code = 59
Sin_Code = 67
Space_Code = 82
Spc_Code = 93
Sqr_Code = 64
Step_Code = 106
Str_Code = 83
StrInt_Code = 84
Sub_Code = 4
SubInt_Code = 5
Tab_Code = 92
Tan_Code = 68
Then_Code = 101
To_Code = 105
Until_Code = 112
Val_Code = 85
While_Code = 111
Xor_Code = 41
sizeof_Code = 137
